calBP,PrDens,lo,hi,logFit3,PerCap
1640,22.0339776624911,20.7596901551947,25.6470072208315,22.422748525468,0.0222603569180837
1610,22.5299617805171,21.7935758116455,26.8312474001353,23.8903798780672,0.0183932321294944
1580,22.9481951380173,22.6576044411141,27.7623594170119,25.354387071088,0.0417859837022427
1550,23.9274245998929,24.5788897850773,29.4283420115765,26.7927590314712,0.0394621918354408
1520,24.8905313909578,25.9427764710309,31.2885100644659,28.1850026242066,0.0279561911799449
1490,25.5961937018104,26.7876630032635,32.6703291754907,29.5132561336257,0.0315912031078915
1460,26.41771637825,27.6605594375538,34.1896642491171,30.763095033408,0.0442110749993327
1430,27.611875033175,28.9793683166393,35.3589718307668,31.9239682296772,0.0235602865300586
1400,28.270142759331,30.0295098952566,35.9357837196452,32.9892665128108,0.0148098062884423
1370,28.6919337092056,31.1716464239849,37.0138585728183,33.9560774664587,0.0310560718650463
1340,29.5969732104799,32.5781161271969,38.3822634253683,34.8247132078682,0.073182470427938
1310,31.8441779734408,33.8426662355648,39.2682122417603,35.5981072172166,0.0724001972389847
1280,34.2352141334965,35.1399638578478,40.2823410995918,36.2811682753156,0.0571978205278949
1250,36.2504787421539,35.9205711758413,41.322864791219,36.8801602407845,0.0697265985964157
1220,38.8683069228716,36.059818365883,42.259552790468,37.4021531846192,0.0695875577529215
1190,41.6693874058556,36.2831613032324,42.7945579688024,37.8545696245521,0.0278049897858552
1160,42.8442622971861,36.7139250637613,42.809535135498,38.2448322826955,0.0108937728902507
1130,43.3135494732425,36.6976536145019,43.2643517558051,38.5801078970872,0.0261301722750762
1100,44.4602565641973,37.270383796415,44.1863920318974,38.8671347508569,0.0168507370106528
1070,45.2157924455909,37.6211138388813,44.583030158196,39.1121186646781,0.00359893603259298
1040,45.3788143670396,37.4380756397661,44.6125892301592,39.3206819903952,0.0172829509215551
1010,46.1699107368554,37.7237593234145,44.8896536889007,39.4978515457653,0.0331961608952582
980,47.7282976461844,38.2252007816525,45.0818884626041,39.6480736032872,0.0659420046102071
950,50.9816859220184,39.0136674412017,44.772468443651,39.7752464244885,0.0656896752192999
920,54.4431013228403,39.3446565807974,45.0171442812233,39.8827630785169,0.0665076226928671
890,58.1871049977809,39.4344901564268,45.2037085037077,39.9735592322769,0.0520451298422922
860,61.2956511323898,39.1039938499829,45.8379578422231,40.050162191054,0.0318417655470897
830,63.2788191117112,39.0842862619125,45.8904023955472,40.1147387109437,-0.000101069572444601
800,63.2724238717063,38.8822574633484,45.8494840364,40.1691400377901,0.0135381590202384
770,64.1348406030389,38.7218643401452,45.6309213218097,40.2149433045626,0.00558649744701789
740,64.4941323832128,38.7990971206342,45.4785542865632,40.2534888935711,-0.0394517361749305
710,61.9992639180934,39.2173095761162,45.4290055113102,40.2859136896867,-0.0319654021769313
680,60.0487727096134,39.7771147463194,45.1096378445849,40.3131803560249,-0.0405808299327504
650,57.6607258497442,39.986019141779,45.2136968724437,40.3361028865183,-0.0501872623534023
620,54.8383089539816,40.0511117734447,45.5896352012352,40.3553687552133,-0.0949651702703056
590,49.8702108704735,40.0863295794396,46.3043704943729,40.3715580085317,-0.101409965912144
560,45.0608537615378,40.1753546338336,46.1959392599738,40.3851596476676,-0.144486506155163
530,38.9986634833643,40.2835305945743,45.3472690440513,40.3965856334364,-0.166819782109546
500,33.0066017264568,40.0760606141694,44.7418116165196,40.4061828219605,-0.25014407005012
470,25.7018641354873,39.3615375016381,44.4252954641285,40.4142431111842,-0.220190555676202
440,20.6222990408309,38.4367784613914,44.5295704889529,40.4210120483563,-0.098335716341134
410,18.6909089212977,37.6918189958021,44.3526586335012,40.4266961192303,-0.0409494653441871
380,17.9409854664802,37.3245473763948,43.9424523042626,40.4314689119649,-0.0808742752794882
350,16.5471438697533,35.495572725409,41.8388719941006,40.4354763231718,-0.103685237614199
320,14.9173993528043,31.2367553815974,36.6714963642402,40.4388409505443,-0.133932985618911
290,13.0474836034243,25.3102283325811,29.5687547093555,40.441665796053,-0.305445161337091
260,9.6133247079237,15.8713810871384,19.7886111483455,40.4440373857293,-0.360488316238146
230,6.70371473140312,4.81265792699624,7.02134997122289,40.4460283964108,0.112739568999876
200,7.50373862201276,9.3573802488552,13.022322063507,40.4476998662812,
