calBP,PrDens,MKDE,PerCap
620,10.5303246633774,0.00873558494414701,-0.0156177477682489
590,10.3441881570971,0.00860021462319421,-0.0229504571844261
560,9.95337099615489,0.00840508350483307,-0.0266963340157007
530,9.81286416352316,0.0081836672394653,-0.0246026622160143
500,9.67305618098676,0.0079847838014687,-0.017784059975571
470,9.45121549810604,0.00784403716031342,-0.0108966941882107
440,9.2542908350352,0.00775902709169525,-0.00642280158826392
410,9.31704654505485,0.00770935209725146,-0.00416747373211646
380,9.29325006995554,0.00767729042937734,-0.00599483624143815
350,9.2178209119167,0.00763140400868647,-0.0167592643580443
320,8.98759006676078,0.00750457305680882,-0.0403583158982528
290,8.51592912668766,0.00720773143081038,-0.0790014650314213
260,7.99901130270072,0.00666022184930507,-0.138465037921838
230,6.61303448898156,0.00579901315149646,
