calBP,Correct,CKDE,MKDE,ConstantCorrect,logistic,exponential,EXPCorrect,Logistic,LogisticCorrect,LogisticOver,OverCorrect,missKDE,MissCorrect,Pert
2090,0.00775584721760397,0.00775584721760397,0.00493492685706339,0.00157162354017527,,0.00351691819378067,0.00552727142221638,0.00313793804986396,0.00493165730677787,0.00313793804986396,0.00493165730677787,0.00283636952334216,0.00445770511152024,
2060,0.00772152857813536,0.00772152857813536,0.00496140156291073,0.00155632001970132,,0.00357006960569147,0.00555617079906482,0.00325272982665256,0.00506228854789897,0.00325272982665256,0.00506228854789897,0.00313110218654417,0.00487299701664925,
2030,0.00760829082624253,0.00760829082624253,0.00493709044209812,0.00154104748848985,,0.0036240242983249,0.00558479354315977,0.00337582468663309,0.00520230615491794,0.00337582468663309,0.00520230615491794,0.00342745734555832,0.00528187453427872,
2000,0.00753528755863395,0.00753528755863395,0.00493856160853204,0.00152580612654821,,0.00367879441171442,0.00561312705170517,0.00350717491104663,0.00535126896615111,0.00350717491104663,0.00535126896615111,0.00374697460705291,0.00571715681146188,
1970,0.00755934303058096,0.00755934303058096,0.00500421187947127,0.00151059611636181,,0.00373439226936661,0.00564115845907678,0.00364659984719383,0.00550853956709658,0.00364659984719383,0.00550853956709658,0.00407401668025736,0.00615419377519002,
1940,0.00766420413092885,0.00766420413092885,0.00512512619271921,0.00149541764294832,,0.00379083038103399,0.00566887463322272,0.00379377312899634,0.00567327527044437,0.00379377312899634,0.00567327527044437,0.00438235508904723,0.00655345111782558,
1910,0.00778808559805864,0.00778808559805864,0.00526125699700102,0.00148027089391336,,0.00384812144552979,0.00569626217206156,0.00394821399355213,0.00584442625759667,0.00394821399355213,0.00584442625759667,0.00461304370801577,0.00682855433332592,
1880,0.00786306556129249,0.00786306556129249,0.00536670855658376,0.00146515605950807,,0.00390627835358521,0.00572330739988056,0.00410928390147187,0.00602074220848046,0.00410928390147187,0.00602074220848046,0.00483523035043748,0.00708436704706079,
1850,0.00785875005062842,0.00785875005062842,0.00541955353117167,0.00145007333268824,,0.00396531419074993,0.00574999636373672,0.00427618946899822,0.0062007883145166,0.00427618946899822,0.0062007883145166,0.00505642435736914,0.00733218611937626,
1820,0.00779472050857731,0.00779472050857731,0.00543177426558031,0.00143502290917543,,0.00402524224033636,0.00577631482986332,0.00444799237634782,0.00638297095989681,0.00444799237634782,0.00638297095989681,0.00527605028599567,0.00757125303036539,
