OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
36172,Beta-65175,6570,190,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36173,Beta-65177,9990,140,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004; Goodyear 1999: 450,intcal20,162716,481303.691911628
36174,Beta-65178,7040,110,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36175,Beta-65179,10390,80,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004; Goodyear 1999: 450,intcal20,162716,481303.691911628
36176,Beta-65180,7010,90,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36177,Beta-65181,10310,230,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36178,Beta-65182,6840,90,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36179,Beta-65184,8330,170,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36241,Beta-66224,830,70,CHARCOAL,NA,-25,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
36242,Beta-66226,560,80,CHARCOAL,NA,-25,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
36243,Beta-66227,620,70,CHARCOAL,NA,-25,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
36282,Beta-66624/CAMS-9422,2570,60,CHARCOAL,NA,NA,AMS,-87.07228888,38.70248259,1,NA,12DA869,Whisman,USA,Indiana,North America,UWyo2021,Munson and Munson 2004-Mario Culture (Early Woodland) Occupations in the Wabash…,intcal20,153948,798921.83570592
36628,Beta-70355,840,80,CHARCOAL,charred wood,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36629,Beta-70356,460,80,CHARCOAL,charred cane thatch,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36630,Beta-70357,350,60,CHARCOAL,Charred Cane,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36631,Beta-70358,300,60,CHARCOAL,charred wood,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36668,Beta-70848,630,60,CHARCOAL,NA,-25,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
36669,Beta-70849,700,50,CHARCOAL,NA,-25,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
36781,Beta-71453,230,80,CHARCOAL,NA,NA,NA,-89.89550852,35.18413891,1,NA,40SY527,Fulmer,USA,Tennessee,North America,UWyo2021,Weaver et al. 1999; Tennessee Archaeology Network,intcal20,162717,540209.847073691
36782,Beta-71454,950,70,CHARCOAL,NA,NA,NA,-89.89550852,35.18413891,1,NA,40SY527,Fulmer,USA,Tennessee,North America,UWyo2021,Weaver et al. 1999; Tennessee Archaeology Network,intcal20,162717,540209.847073691
