Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Wickliffe,Ballard,KY,0,1,700,749-300,5,500,34,29,29,,0.630434783,0.315217391,
Carpenter Farm,Franklin,KY,0,1,650,749-300,5,500,187,11,106,106 Rossen 1992b:173,0.384868421,0.348684211,
Croley-Evans,Knox,KY,0,1,650,749-300,5,500,8004,72,276,276 Jefferies et al. 1996:23,0.041666667,0.033045977,
Florence Site Complex,Harrison,KY,0,1,625,749-300,5,500,287,5,43,43 Sharp and Pollack 1992:196,0.143283582,0.128358209,
Florence Site Complex,Harrison,KY,0,1,625,749-300,5,500,4378,25,651,651 Sharp and Pollack 1992:209,0.133755441,0.128808864,
Turk,Carlisle,KY,0,1,600,749-300,5,500,445,8,541,,0.552313883,0.544265594,
Fox Farm,Mason,KY,0,1,525,749-300,5,500,306,217,1219,"1219 Rossen 1992a:193, 195",0.824339839,0.699770379,
Snag Creek,Bracken,KY,0,1,525,749-300,5,500,228,26,325,,0.606217617,0.561312608,
Augusta,Bracken,KY,0,1,350,749-300,5,300,6,0,8,"8 Rossen 1992a:193, 195",0.571428571,0.571428571,
Howard,Madison,KY,0,1,350,749-300,5,300,2040,5,926,,0.313362504,0.311679569,
Laughlin,Lewis,KY,0,1,350,749-300,5,300,11,1,50,,0.822580645,0.806451613,
Truman Road,St. Charles,MO,1,1,4750,5000-3450,0,4500,17999,3,0,,0.000166648,0,0
Burkemper,Lincoln,MO,1,1,1900,3400-1900,1,1500,471,326,0,,0.409033877,0,0
Hayti Bypass,Pemiscot,MO,1,1,1544,1899-1250,2,1500,769,282,0,,0.26831589,0,0
Boschert,St. Charles,MO,1,1,1400,1899-1250,2,1000,141,6,0,,0.040816327,0,0
Hayden,St. Louis,MO,1,1,1340,1899-1250,2,1000,2297,1606,0,,0.41147835,0,0
Burkemper,Lincoln,MO,1,1,1325,1899-1250,2,1000,526,1453,0,,0.734209197,0,0
